name,group,install,first_post_window,ti_died,days_in_field_at_death,ti_before,st_at_death,prior_episodes,posts_after_death,last_post,dark_days,id
70267610,All,2026-05-23,2025-07-16,2025-09-29,-236,159,10270,1,1,2025-09-29,349,a9ee2c90-62b0-11f0-8658-7f4e94e41769
77059931,GENII Production Failures,2026-03-18,2025-05-30,2025-09-03,-196,146,10266,0,8,2025-09-03,375,d34e2890-3d78-11f0-8e55-b138a1c03c8e
77054841,GENII Production Failures,2026-03-18,2025-05-30,2025-09-04,-195,146,10266,0,9,2025-09-04,374,92ba27e0-3d8a-11f0-8e55-b138a1c03c8e
72381864,GENII Production Failures,2026-09-04,2025-10-02,2026-03-20,-168,209,362,1,29,2026-03-26,171,ae55aef0-9fc5-11f0-b5af-5dfa9891b485
70266380,GENII Production Failures,2026-08-13,2025-10-14,2026-04-07,-128,219,15019,4,3,2026-04-07,159,33f01180-a959-11f0-98a7-c3bc57f9afe3
72391087,All,2026-05-09,2025-10-16,2026-01-19,-110,159,10304,0,4,2026-01-19,237,74bbdb00-aabb-11f0-98a7-c3bc57f9afe3
72715297,GENII Production Failures,2026-06-25,2025-11-18,2026-03-13,-104,209,362,1,217,2026-05-07,129,8c1d2500-c4cf-11f0-9842-6d029661c338
72387416,GENII Production Failures,2026-08-11,2025-10-14,2026-05-20,-83,260,16022,7,4,2026-05-25,111,d5e4e880-a972-11f0-98a7-c3bc57f9afe3
72381922,GENII Production Failures,2026-08-13,2025-10-14,2026-06-01,-73,209,16048,2,5,2026-06-05,100,8e032050-a976-11f0-98a7-c3bc57f9afe3
72387903,Stafford MHC-CUST,2026-01-13,2025-08-26,2025-11-04,-70,159,10292,0,1,2025-11-04,313,b6589b60-82e4-11f0-8b4a-0d0197d44616
70260904,GENII Production Failures,2026-09-01,2025-07-16,2026-07-10,-53,260,16185,1,1,2026-07-10,65,8871cd80-62a9-11f0-8658-7f4e94e41769
70264260,GENII Production Failures,2026-09-01,2025-07-16,2026-07-13,-50,260,16185,0,3,2026-07-15,60,90995b90-62a9-11f0-8658-7f4e94e41769
70267776,GENII Production Failures,2026-09-01,2025-07-16,2026-07-13,-50,260,16185,0,1,2026-07-13,62,d04ae220-62b0-11f0-8658-7f4e94e41769
70271547,Running Springs MHP,2026-07-14,2025-06-25,2026-05-26,-49,260,16022,1,11,2026-06-05,100,f02016e0-520e-11f0-acb1-514e01860b07
72381534,GENII Production Failures,2026-08-03,2025-09-23,2026-06-17,-47,295,16128,13,90,2026-08-13,31,44b15de0-98e6-11f0-b5af-5dfa9891b485
70266034,GENII Production Failures,2026-08-10,2025-10-14,2026-06-25,-46,209,362,0,1,2026-06-25,80,3c061360-a959-11f0-98a7-c3bc57f9afe3
70264096,Running Springs MHP,2026-07-14,2025-06-26,2026-06-03,-41,260,16022,1,2,2026-06-04,101,eb24bd10-52bf-11f0-acb1-514e01860b07
70259112,GENII Production Failures,2026-09-01,2025-07-21,2026-07-26,-37,260,16185,2,4,2026-07-29,46,c6c4ad50-66b4-11f0-8658-7f4e94e41769
70266588,GENII Production Failures,2026-02-27,2025-07-21,2026-01-25,-33,181,10322,0,9,2026-02-01,224,fa708ea0-6676-11f0-8658-7f4e94e41769
72391806,GENII Production Failures,2026-08-13,2025-10-14,2026-07-12,-32,209,362,1,101,2026-08-06,38,5ced75b0-a971-11f0-98a7-c3bc57f9afe3
70263627,GENII Production Failures,2026-08-03,2025-07-21,2026-07-10,-24,295,16128,1,2,2026-07-11,64,ca252b20-666c-11f0-8658-7f4e94e41769
72382243,GENII Production Failures,2026-08-03,2025-09-25,2026-07-21,-13,314,16185,14,26,2026-08-04,40,dcf76f40-9a2b-11f0-b5af-5dfa9891b485
72381856,Whispering Pines Mobile Estates,2026-03-26,2025-10-02,2026-03-16,-10,209,362,2,171,2026-06-01,104,431246c0-9fdf-11f0-b5af-5dfa9891b485
72388448,GENII Production Failures,2026-08-03,2025-09-24,2026-07-25,-9,296,16131,4,21,2026-08-06,38,b6a41950-994b-11f0-b5af-5dfa9891b485
77058347,GENII Production Failures,2025-09-06,2025-05-29,2025-09-02,-4,146,10266,0,17,2025-12-16,271,bbd562a0-3d05-11f0-8e55-b138a1c03c8e
72385253,GENII Production Failures,2026-08-07,2025-09-24,2026-08-04,-3,328,17022,5,60,2026-08-15,29,5758fea0-9957-11f0-b5af-5dfa9891b485
70263163,GENII Production Failures,2026-01-15,2025-10-19,2026-01-15,0,159,10300,0,4,2026-01-15,241,0d6e5430-ad3d-11f0-98a7-c3bc57f9afe3
70272800,All,2025-09-30,2025-09-30,2025-09-30,0,159,10265,1,1,2025-09-30,348,6c7e8330-9e53-11f0-b5af-5dfa9891b485
72380825,All,2025-09-09,2025-08-27,2025-09-09,0,149,10270,0,10,2025-10-03,345,81dba570-8385-11f0-8b4a-0d0197d44616
77028829,All,2025-08-19,2025-05-19,2025-08-19,0,149,10268,0,7,2025-08-25,384,8b3904f0-3524-11f0-8e55-b138a1c03c8e
77057893,GENII Production Failures,2026-07-19,2025-05-02,2026-07-20,1,209,16185,1,3,2026-07-22,53,43194990-26a7-11f0-8272-45e3ef110760
65825260,GENII Production Failures,2025-08-19,2025-08-03,2025-08-20,1,149,10268,0,4,2025-08-20,389,875c5ec0-d955-11ef-b6c0-d371c5346bb9
77053447,GENII Production Failures,2025-12-12,2025-05-30,2025-12-13,1,146,10266,0,4,2025-12-13,274,8ed515f0-3dc0-11f0-8e55-b138a1c03c8e
65823620,GENII Production Failures,2025-08-19,2025-05-02,2025-08-20,1,149,10268,0,34,2025-10-14,334,9d0bf9b0-d955-11ef-b6c0-d371c5346bb9
65825948,GENII Production Failures,2026-01-12,2025-05-02,2026-01-13,1,149,10264,1,8,2026-01-14,242,f36ad800-e4d4-11ef-a76f-4d93d4a482f0
65826516,GENII Production Failures,2026-03-02,2025-05-02,2026-03-04,2,159,362,0,29,2026-03-12,185,52e83ce0-e111-11ef-a5fd-a97d57576080
70268980,GENII Production Failures,2026-08-09,2025-10-14,2026-08-14,5,344,17037,4,42,2026-08-18,26,13435e50-a92d-11f0-98a7-c3bc57f9afe3
72720388,GENII Production Failures,2026-02-25,2025-11-18,2026-03-07,10,181,362,0,144,2026-04-14,152,dd80fe30-c4f7-11f0-9842-6d029661c338
72386970,Stevens Park MHC,2025-11-15,2025-10-19,2025-11-30,15,159,10237,0,1,2025-11-30,287,773791f0-ad43-11f0-98a7-c3bc57f9afe3
79462782,Estancia MHP-CUST,2026-05-11,2026-05-04,2026-06-02,22,256,16048,0,2,2026-06-02,103,d4f6ea60-47f4-11f1-969c-6109d9dfb138
77053306,Estancia MHP-CUST,2026-05-11,2025-05-30,2026-06-02,22,256,16048,1,5,2026-06-02,103,7fc22350-3dc0-11f0-8e55-b138a1c03c8e
75374510,Kay Lou-Cust,2026-06-27,2026-06-19,2026-07-23,26,296,16131,0,19,2026-07-23,52,db887e50-6c13-11f1-9333-3b2cfe68422f
79466189,Alta Vista MHC-CUST,2026-05-08,2026-05-04,2026-06-06,29,219,16048,0,2,2026-06-06,99,0c76d4f0-47f5-11f1-969c-6109d9dfb138
65831466,Brown's MHP-CUST,2026-03-30,2025-05-06,2026-04-30,31,260,15154,0,60,2026-06-19,86,12094ed0-bda8-11ef-8f43-73c96c0de66f
72386244,All,2025-10-01,2025-09-25,2025-11-03,33,149,10270,1,1,2025-11-03,314,a1a34200-9a69-11f0-b5af-5dfa9891b485
70261464,GENII Production Failures,2026-05-11,2025-07-21,2026-06-13,33,256,362,2,3,2026-06-13,92,b8fd3b30-666c-11f0-8658-7f4e94e41769
72391822,All,2025-10-20,2025-10-14,2025-11-30,41,159,10290,0,6,2026-04-30,136,646f4de0-a971-11f0-98a7-c3bc57f9afe3
72381229,GenII Water Flow,2026-01-17,2025-12-17,2026-02-27,41,211,11374,6,20,2026-02-27,198,8f4c4a00-db7a-11f0-b691-d965a62fa4fa
79463194,Paola MHC,2026-04-22,2026-04-16,2026-06-02,41,272,16048,3,2,2026-06-02,103,f041e170-39d6-11f1-b198-172a4a9f25c9
79461156,Paola MHC,2026-04-21,2026-04-16,2026-06-02,42,272,16048,1,25,2026-06-09,96,ff7924f0-39d6-11f1-b198-172a4a9f25c9
72722830,GENII Production Failures,2026-01-09,2025-12-12,2026-02-27,49,209,362,1,37,2026-03-08,189,8a8fb400-d7a3-11f0-b691-d965a62fa4fa
72388513,Carolina Springs MHP-CUST,2026-04-07,2025-09-25,2026-06-01,55,267,16048,4,2,2026-06-01,104,9445c530-9a35-11f0-b5af-5dfa9891b485
65823349,All,2025-05-22,2025-05-03,2025-07-19,58,119,10222,0,5,2025-08-03,406,e9537140-d504-11ef-b247-3918401509a2
68584521,All,2025-03-17,2025-05-15,2025-05-15,59,?,10215,-1,3,2025-05-15,486,22d926e0-be5c-11ef-8f43-73c96c0de66f
72714183,GENII Production Failures,2025-12-02,2025-11-18,2026-01-31,60,181,10322,0,5,2026-01-31,225,5f9efdb0-c4e7-11f0-9842-6d029661c338
72718838,Big Country Mobile Home & RV Park-Cust,2026-05-14,2026-02-17,2026-07-18,64,296,16130,1,20,2026-07-18,57,dd0230d0-0c3e-11f1-8768-5551e7a34f27
68612769,All,2025-03-01,2025-05-06,2025-05-06,66,?,10182,-1,39,2025-10-31,317,be88a8c0-c746-11ef-8f43-73c96c0de66f
65825336,Minot Gardens MHC-Cust,2026-05-11,2025-05-02,2026-07-19,69,260,16185,1,21,2026-08-18,26,ccdd3e90-e66d-11ef-bcd4-5bcca9a9134f
72716964,Azulejo,2025-12-31,2025-12-12,2026-03-11,70,209,362,1,101,2026-03-29,168,13ed4600-d7a8-11f0-b691-d965a62fa4fa
72716642,All,2025-12-03,2025-11-18,2026-02-14,73,181,10322,0,5,2026-02-15,210,f007f8d0-c4be-11f0-9842-6d029661c338
75369908,Estancia MHP-CUST,2026-03-19,2026-02-10,2026-06-01,74,256,16048,3,2,2026-06-01,104,10510c30-06aa-11f1-a3d9-c99c67c82bc1
75373587,Estancia MHP-CUST,2026-03-19,2026-02-10,2026-06-01,74,256,16048,3,2,2026-06-01,104,e61ab830-06a4-11f1-a3d9-c99c67c82bc1
65828694,Fair Lane MHC,2026-04-23,2025-05-02,2026-07-15,83,302,16185,4,52,2026-08-09,35,c7ace580-bdb2-11ef-8f43-73c96c0de66f
72716709,All,2025-12-03,2025-11-18,2026-02-25,84,194,11361,0,4,2026-02-25,200,2ca84bf0-c4bf-11f0-9842-6d029661c338
75374601,Lake Charles Duplexes,2026-05-15,2026-04-17,2026-08-09,86,296,16131,0,14,2026-08-09,35,261593d0-3aa1-11f1-b198-172a4a9f25c9
65830559,GENII Production Failures,2025-03-23,2025-06-17,2025-06-17,86,?,10215,-1,1,2025-06-17,453,5b834ed0-e657-11ef-bcd4-5bcca9a9134f
65825138,All,2025-02-07,2025-05-06,2025-05-06,88,?,10185,-1,72,2025-12-27,260,85084420-e07d-11ef-a5fd-a97d57576080
72381278,La Comunidad MHC-CUST,2025-10-22,2025-10-14,2026-01-22,92,159,10322,0,4,2026-01-25,231,e3b00f20-a941-11f0-98a7-c3bc57f9afe3
