id,group,groups,class,last_post,age_d,posts_24h,boots_24h,fwVer,fwVerTi,tiUartVer,bBootCount,bootReasonFlags,tifota_lastFailedVer,tifota_config_err,tiBslOkCnt,VddAdc,deviceState,failedCal,tiError,tiRecoveryExhausted,tiParked,sfProbeHeld,radioOveruseCnt,meterVal,tiBootCnt
0048c000-8377-11f0-8b4a-0d0197d44616,Westview Mobile Estates MHC,2,ok,09/13 09:22,0.0,2,0,17037,344,344,4172,6,0,0,1,3635,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,39514.117,2
005046d0-0c3f-11f1-8768-5551e7a34f27,Oak Tree MHP,2,ok,09/12 04:35,1.2,0,0,16130,296,,60,4,0,0,,3663,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,14099.784,
00546ee0-8638-11f1-a1a6-391af391818e,Lakewood MH Park,2,ok,09/13 07:39,0.1,6,0,17037,344,344,31,20,0,0,26,3681,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,3,5583.784,29
00567a30-cfab-11f0-9bfa-a7eff651ff22,Kay Bee Mobile Villa MHP,2,ok,09/12 12:18,0.9,2,0,17055,365,365,38,20,0,0,1,3680,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,11613.14,2
005a5c20-9e66-11f0-b5af-5dfa9891b485,Chickadee Lane MHC,2,ok,09/13 07:53,0.1,2,0,16185,314,755,47,6,0,0,1,3653,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,5872.655,1
006391b0-0597-11ee-b15d-e3ac404013cb,All,2,stale,02/16 14:26,573.8,0,,10671,,,74,20,,,,,Standby,,,,,,9,1086,
00659b80-bbbf-11ed-8426-5912eec2be3c,All,1,stale,03/05 17:34,1287.6,0,,10540,,,1,,,,,,Standby,,,,,,,0,
006943d0-943c-11ec-a577-bf676923aa1d,All,2,stale,02/21 13:04,1299.8,0,,10510,,,9,,,,,,Standby,,,,,,,38531,
006a0c00-4d01-11ee-b7e1-39727005a827,GENII Production Failures,2,stale,03/21 03:48,176.3,0,,10706,,,83,4,,,,,Installing,,,,,,1,3504,
0077a4c0-6134-11f0-9fcd-87e94e720126,The Oaks MHC,2,ok,09/13 03:50,0.3,1,0,16131,296,,21,6,0,0,,3658,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,32152.178,
007d8c20-89e5-11f1-a1a6-391af391818e,Wintergreen Apartments,2,ok,09/13 09:01,0.0,2,0,17037,344,344,32,6,0,0,25,3674,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,1966.264,1
00832490-52dd-11f0-acb1-514e01860b07,Aurora MHC,2,ok,09/13 08:11,0.1,2,0,17037,344,344,54,20,0,0,1,3351,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,43133.762,2
008c3bc0-86bc-11f1-a1a6-391af391818e,Lakewood MH Park,2,ok,09/12 08:31,1.1,0,0,17037,344,20994,32,4,0,0,11,3690,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,1358.057,11
008e56f0-dacb-11f0-b691-d965a62fa4fa,All,2,stale,12/16 14:13,270.8,0,,10300,159,,12,4,,,,,Not Metering,,,,,,1,0,
009743e0-a0c9-11f1-a1a6-391af391818e,Farmingbury Commons,2,ok,09/13 07:21,0.1,2,0,17037,344,344,14,20,0,0,1,3650,Calibrating,false,00000000 00000000 00000000 00004000 00000000 00000000 00000000 00000000,0,,,1,0,36
00a2f330-9fed-11f0-b5af-5dfa9891b485,Kingsbrook MHC,2,no_status,,,,,,,,,,,,,,,,,,,,,,
00a82e00-9e66-11f0-b5af-5dfa9891b485,Country Squire MHC,2,ok,09/13 08:29,0.1,2,0,16185,314,314,32,6,0,0,1,3649,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,139384.984,3
00aac240-9b94-11ee-b99a-4db944ac885f,Glenn Dorado,2,stale,12/21 02:42,266.3,0,,10671,,,50,6,,,,,Metering,,,,,,1,145198,
00ace920-a637-11f1-a1a6-391af391818e,All,2,failed_cal,09/12 09:55,1.0,0,0,17037,344,344,17,4,0,0,1,3654,Failed Cal,true,00000000 00000000 00000000 0000E080 00000080 00000000 00000000 00000000,0,,,3,0,7
00ae8530-89fb-11f1-a1a6-391af391818e,All,2,failed_cal,09/13 08:44,0.1,2,0,17037,344,344,24,20,0,0,5,3674,Failed Cal,true,00000000 00000000 00000000 0000E080 00000080 00000000 00000000 00000000,0,,,1,0,142
00b97420-0c34-11ed-8b39-15ed4ae7fa88,All,1,stale,01/29 05:25,1323.1,0,,10512,,,38,,,,,,Failed Calibration,,,,,,,0,
00bc0b40-7740-11ee-b77b-c10d9e19b72d,Johnson's Trailer Park,2,ti_dead,09/10 04:35,3.2,0,0,10671,,,30,6,,,,,Metering,,,,,,1,9286,
