group,serial,id,apt,state,fw,fwti,gain,tiPulse,crash,seen_h,nowater,pipe
Ponderosa MHC,72392853,3ae18440-8430-11f0-8b4a-0d0197d44616,3-2,Calibrating,17060,368,40,13,9032,9.1,false,X ¾
Ponderosa MHC,72383175,13aadcb0-8420-11f0-8b4a-0d0197d44616,48,Calibrating,17060,368,40,13,0,8.9,false,X ¾
Ponderosa MHC,72389404,053da070-82e2-11f0-8b4a-0d0197d44616,50,Calibrating,17060,368,40,13,0,8.9,false,X ¾
Ponderosa MHC,72384827,7f136e60-842d-11f0-8b4a-0d0197d44616,57,Calibrating,17060,368,40,13,0,9.4,false,K ¾
Ponderosa MHC,72380908,f4c127f0-837f-11f0-8b4a-0d0197d44616,21,Failed Cal,17060,368,55,13,0,9.3,false,X ¾
Ponderosa MHC,72388356,f7b60040-8477-11f0-8b4a-0d0197d44616,25,Failed Cal,17060,368,55,13,1,10.1,false,X ¾
Ponderosa MHC,72378605,fc704210-8479-11f0-8b4a-0d0197d44616,45,Failed Cal,17060,368,55,13,17,15.2,false,X ¾
Ponderosa MHC,70263882,56aaa610-8436-11f0-8b4a-0d0197d44616,51,Failed Cal,17060,368,55,6,0,9.5,false,X ¾
Ponderosa MHC,70269616,5bed5e90-8384-11f0-8b4a-0d0197d44616,54,Failed Cal,17060,368,55,6,0,9.9,false,X ¾
Ponderosa MHC,72378183,62f3d240-84a2-11f0-8b4a-0d0197d44616,61,Failed Cal,17060,368,55,13,0,9.5,false,X ¾
Ponderosa MHC,72380361,21f85c70-8420-11f0-8b4a-0d0197d44616,65,Failed Cal,17060,368,55,6,1,7.7,false,X ¾
Ponderosa MHC,65830807,f8527150-ea3a-11ef-b35e-23eef2ba43da,41,Not Metering,16185,0,0,,0,130.9,false,X ¾
Ponderosa MHC,72384934,9bb6ffc0-8435-11f0-8b4a-0d0197d44616,42,Not Metering,16185,0,0,,0,408.2,false,X ¾
RMA Tremain,72391822,646f4de0-a971-11f0-98a7-c3bc57f9afe3,,Not Metering,15155,0,0,,0,3226.9,false, 
Rainbird,65822309,c7745920-40b3-11f0-8e55-b138a1c03c8e,1626HW,Failed Cal,17060,368,55,13,1,7.9,false,M ¾
Rainbird,77053314,e86bbcb0-3d78-11f0-8e55-b138a1c03c8e,1628HW,Failed Cal,17060,368,55,13,1,7.9,false,M ¾
River Bend-Cust,75371151,c27587f0-603d-11f1-89ca-a986714faa23,23,Failed Cal,17040,354,55,,0,104.6,false,X ¾
Riverview Apartments MF,72715248,69e4bcf0-c7bd-11f0-9842-6d029661c338,32 start 9/1,Calibrating,17058,365,40,,0,83.1,false,X ¾
Riverview Apartments MF,72720677,8fea2ac0-c7bd-11f0-9842-6d029661c338,34,Failed Cal,17037,344,55,,0,12.1,false,X ¾
Riverview Apartments MF,72718622,47575ee0-c7bd-11f0-9842-6d029661c338,35 start 11/1,Failed Cal,17060,368,55,6,0,12.1,false,X ¾
Riverview Apartments MF,72716345,5d5763c0-c7bd-11f0-9842-6d029661c338,38 start 9/1,Failed Cal,17060,368,55,6,0,8.9,false,X ¾
Riverview Apartments MF,72717731,6f5c3a00-c81c-11f0-9842-6d029661c338,39,Not Metering,16048,272,45,,0,2437.7,false,X ¾
Roosevelt MHC,75371425,f40b8c40-0b76-11f1-a3d9-c99c67c82bc1,107,Failed Cal,17060,368,55,6,0,7.4,false,X ¾
Roosevelt MHC,75362978,698bc6b0-0c49-11f1-8768-5551e7a34f27,140,Failed Cal,17060,368,55,13,0,7.4,false,X ¾
Roosevelt MHC,75367696,9d6fb4c0-0b57-11f1-a3d9-c99c67c82bc1,43,Failed Cal,17060,368,55,13,0,7.6,false,P ¾
Roosevelt MHC,75372233,ab55c6a0-0c48-11f1-8768-5551e7a34f27,82,Failed Cal,17060,368,55,13,0,7.3,false,X ¾
Roosevelt MHC,75373611,f311df70-0b75-11f1-a3d9-c99c67c82bc1,83,Failed Cal,17040,354,55,,0,318.1,false,X ¾
Roosevelt MHC,72723499,446e1810-0c0d-11f1-a3d9-c99c67c82bc1,116,Not Metering,16131,0,0,,101,1829.1,false,P ¾
Roosevelt MHC,75361301,0c816ab0-0c49-11f1-8768-5551e7a34f27,61,Not Metering,16185,0,0,,0,1306.1,false,P ¾
Roper Center Commercial Bldg,72387036,deaeb510-db7a-11f0-b691-d965a62fa4fa,35,Not Metering,16048,272,45,,0,2437.5,false,M ½
Running Springs MHP,72715362,e4398520-d45c-11f0-b691-d965a62fa4fa,2,Calibrating,17060,368,40,13,0,9.3,false,P ¾
Running Springs MHP,75368066,0950cba0-f318-11f0-8900-8bd481ce9a44,1,Failed Cal,17060,368,55,13,0,9.8,false,P ¾
Running Springs MHP,70264096,eb24bd10-52bf-11f0-acb1-514e01860b07,17-OLD,Not Metering,16022,0,0,,0,2390.9,false,C ¾
Running Springs MHP,70271547,f02016e0-520e-11f0-acb1-514e01860b07,26-OLD,Not Metering,16022,0,0,,0,2367.0,false,C ¾
Rusk MHC,72379256,3f1e76f0-a959-11f0-98a7-c3bc57f9afe3,43,Calibrating,17037,344,40,,0,9.3,false,X ¾
Rustic Acres MHC,72387366,b43ac3b0-9f9c-11f0-b5af-5dfa9891b485,36-OLD,Calibrating,17060,368,40,13,0,8.9,false,X ¾
Rustic Acres MHC,72384793,c35f3480-82ea-11f0-8b4a-0d0197d44616,48-OLD,Calibrating,17060,368,40,13,0,7.3,false,P ¾
Rustic Acres MHC,79456701,e64ed090-8b77-11f1-a1a6-391af391818e,,Failed Cal,17060,368,55,13,0,10.7,false, 
Rustic Acres MHC,79460562,3f967bc0-39d5-11f1-b198-172a4a9f25c9,4-REMOVED,Failed Cal,17060,368,55,13,0,8.9,false,X ½
Rustic Acres MHC,68612744,95a9bc70-be43-11ef-8f43-73c96c0de66f,45-OLD,Failed Cal,17060,368,55,6,0,7.5,false,X ¾
Rustic Acres MHC,70263486,2a2c1b10-9fa1-11f0-b5af-5dfa9891b485,56-REMOVED,Failed Cal,17060,368,55,6,190,6.7,false,X ¾
Shady Grove,77056747,a2ffd5f0-3d0d-11f0-8e55-b138a1c03c8e,2018-03,TI Silent,17058,0,0,,0,133.8,false,L ½
Shady Lane MHP-Cust,70269798,e121b210-52dc-11f0-acb1-514e01860b07,40 Maple Lane APT #3,Calibrating,17060,368,40,13,0,11.2,false,X ¾
Shelby's Trailer Park - Cust,75370260,d5231230-f00a-11f0-8900-8bd481ce9a44,LOT30,TI Silent,17037,0,0,,49,201.4,false,P ¾
Singing Pines,77055780,c851e1a0-26b9-11f0-8272-45e3ef110760,2,Failed Cal,17060,368,55,6,0,7.9,false,X ¾
Singing Pines,65828827,cbaaf7b0-26b9-11f0-8272-45e3ef110760,24,Not Metering,16048,272,45,,0,2439.9,false,X ¾
Singing Pines,77054189,db27f6c0-26b9-11f0-8272-45e3ef110760,41,Not Metering,362,209,25,,0,157.4,false,P ¾
Stafford MHC-CUST,72390147,bf4a1e00-8385-11f0-8b4a-0d0197d44616,259,Calibrating,17060,368,40,13,31,10.4,false,P ¾
Stafford MHC-CUST,72392259,bb4ad8f0-82ed-11f0-8b4a-0d0197d44616,365,Calibrating,17060,368,40,13,1,9.3,false,P ¾
Stafford MHC-CUST,72384520,23da5070-82ef-11f0-8b4a-0d0197d44616,227,Failed Cal,17060,368,55,13,1,10.6,false,P ¾
Stafford MHC-CUST,72385931,502a9670-8386-11f0-8b4a-0d0197d44616,267,Failed Cal,17060,368,55,13,1,9.6,false,P ¾
Stafford MHC-CUST,72392887,9b2d7f90-82e4-11f0-8b4a-0d0197d44616,303,Failed Cal,17060,368,55,13,0,8.3,false,P ¾
Stafford MHC-CUST,72717459,af56e230-c42b-11f0-9842-6d029661c338,385,Failed Cal,17060,368,55,13,0,9.6,false,P ¾
Stafford MHC-CUST,72384454,be416400-82ea-11f0-8b4a-0d0197d44616,282,Not Metering,362,0,0,,0,3302.5,false,P ¾
Stafford MHC-CUST,75371508,3d01c130-012c-11f1-8726-d3fa6d0d96af,342,Not Metering,362,209,0,,0,4095.2,false,P ¾
Stafford MHC-CUST,70263056,e2aa8120-8f86-11f0-8b4a-0d0197d44616,346,Not Metering,16185,0,0,,0,779.1,false,P ¾
Stafford MHC-CUST,75361178,f2d9d660-012b-11f1-8726-d3fa6d0d96af,393,Not Metering,362,209,0,,0,4676.8,false,P ¾
Stafford MHC-CUST,70262975,d8616810-8f85-11f0-8b4a-0d0197d44616,508,Not Metering,16048,272,45,,0,2437.8,false,P ¾
Stafford MHC-CUST,72389503,b68ae740-82ea-11f0-8b4a-0d0197d44616,558,Not Metering,16048,272,45,,1,2437.6,false,P ¾
Stafford MHC-CUST,72386814,0e555280-82f0-11f0-8b4a-0d0197d44616,565,Not Metering,16048,272,45,,0,2436.9,false,P ¾
Steve Katz 4plex 5YR,70269186,30bbd210-9a72-11f0-b5af-5dfa9891b485,,Not Metering,16128,295,55,,0,1580.6,false, 
Stevens Park MHC,72387697,7b2b3a50-ad43-11f0-98a7-c3bc57f9afe3,16,Not Metering,16048,272,45,,0,2437.8,false,P ¾
Stevens Park MHC,72379710,61e29a20-ad43-11f0-98a7-c3bc57f9afe3,30,Not Metering,16048,272,45,,0,2438.4,false,C 1
Stevens Park MHC,70263874,1f1e1820-ad45-11f0-98a7-c3bc57f9afe3,31,Not Metering,16022,260,35,,0,2987.1,false,X ½
Stevens Park MHC,72391160,75361ca0-ad43-11f0-98a7-c3bc57f9afe3,33,Not Metering,16185,0,0,,0,1163.6,false,X ½
Sunnyvale MHP,72387788,9a4bc020-ad2b-11f0-98a7-c3bc57f9afe3,117,Failed Cal,17060,368,55,13,0,9.7,false,X ¾
Sunview MHP,70261480,92fd6b50-666f-11f0-8658-7f4e94e41769,15,Failed Cal,17060,368,55,13,19,10.2,false,X ½
TN4,65825575,2a8c9e90-0285-11f0-92a4-09772dfb61f8,4,Failed Cal,17060,368,55,13,0,10.5,false,P ¾
Trans Canada,77054759,fc759810-3d92-11f0-8e55-b138a1c03c8e,D1TC,Calibrating,17060,368,40,13,0,9.2,false,X ½
Trans Canada,77061481,52ac2380-3d01-11f0-8e55-b138a1c03c8e,B18TC,Failed Cal,17060,368,55,13,0,8.2,false,M ½
Trans Canada,77054775,905825c0-3dbb-11f0-8e55-b138a1c03c8e,LVJ2,Not Metering,16185,314,20,,0,705.5,false,X ½
Virginia Beach HOA - Cust,72393042,7d05ba00-98e7-11f0-b5af-5dfa9891b485,1,Calibrating,17060,368,40,13,4,10.0,false,X ¾
Virginia Beach HOA - Cust,79462923,b7ccad80-4d76-11f1-b1bb-f3574cce671d,109,Calibrating,17060,368,40,13,1,11.4,false,X ¾
Virginia Beach HOA - Cust,72388539,c70863f0-9973-11f0-b5af-5dfa9891b485,116,Calibrating,17060,368,40,6,0,9.5,true,X ¾
Virginia Beach HOA - Cust,72382359,6f9f8540-98a0-11f0-b5af-5dfa9891b485,140,Calibrating,17060,368,40,13,0,11.3,true,X ¾
Virginia Beach HOA - Cust,72390030,ad379e60-9a2b-11f0-b5af-5dfa9891b485,159,Calibrating,17060,368,40,13,34,9.4,false,X ¾
Virginia Beach HOA - Cust,72379926,5e886780-994b-11f0-b5af-5dfa9891b485,105,Failed Cal,17060,368,55,13,0,10.6,false,X ¾
Virginia Beach HOA - Cust,72379959,d0a57d00-995d-11f0-b5af-5dfa9891b485,107,Failed Cal,17060,368,55,13,0,34.1,true,X ¾
Virginia Beach HOA - Cust,75367589,76eea3f0-4d66-11f1-b1bb-f3574cce671d,113,Failed Cal,17037,344,35,,104,12.0,false,X ¾
Virginia Beach HOA - Cust,75361046,1e860670-4d6d-11f1-b1bb-f3574cce671d,119,Failed Cal,17060,368,55,13,0,11.6,false,X ¾
Virginia Beach HOA - Cust,65829312,85b1f1a0-e07d-11ef-a5fd-a97d57576080,145,Failed Cal,17060,368,38,13,1,10.5,false,X ¾
Virginia Beach HOA - Cust,72385675,af775530-9a2b-11f0-b5af-5dfa9891b485,163,Failed Cal,17060,368,55,13,1,10.5,false,X ¾
Virginia Beach HOA - Cust,72384587,f9267260-98be-11f0-b5af-5dfa9891b485,168,Failed Cal,17060,368,55,6,0,10.5,true,X ¾
Virginia Beach HOA - Cust,72392994,45c60790-98f9-11f0-b5af-5dfa9891b485,178,Failed Cal,17060,368,55,13,210,10.7,false,X ¾
Virginia Beach HOA - Cust,72379744,9047c510-989f-11f0-b5af-5dfa9891b485,203,Failed Cal,17060,368,55,6,3,8.9,false,X ¾
Virginia Beach HOA - Cust,72389578,2a9b8800-98f9-11f0-b5af-5dfa9891b485,219,Failed Cal,17060,368,55,6,0,9.4,false,X ¾
Virginia Beach HOA - Cust,72383100,fec679e0-8383-11f0-8b4a-0d0197d44616,220,Failed Cal,17060,368,55,13,151,8.7,false,X ¾
Virginia Beach HOA - Cust,75363166,2e0bf770-4d73-11f1-b1bb-f3574cce671d,236,Failed Cal,17060,368,55,13,0,10.7,false,X ¾
Virginia Beach HOA - Cust,72390816,f7b88660-8479-11f0-8b4a-0d0197d44616,239,Failed Cal,17060,368,55,13,0,10.5,true,X ¾
Virginia Beach HOA - Cust,72378423,43fac030-9977-11f0-b5af-5dfa9891b485,244,Failed Cal,17060,368,55,13,1,8.6,false,X ¾
Virginia Beach HOA - Cust,72383779,497b0800-98f3-11f0-b5af-5dfa9891b485,38,Failed Cal,17037,344,55,,2,11.8,true,C ¾
Virginia Beach HOA - Cust,72383571,a787a000-9a2b-11f0-b5af-5dfa9891b485,41,Failed Cal,17060,368,55,13,0,9.9,false,X ¾
Virginia Beach HOA - Cust,72386046,4ff02900-8498-11f0-8b4a-0d0197d44616,45,Failed Cal,17040,354,55,,1,9.2,false,X ¾
Virginia Beach HOA - Cust,72382847,8f547840-994b-11f0-b5af-5dfa9891b485,58,Failed Cal,17060,368,55,13,0,11.7,true,X ¾
Virginia Beach HOA - Cust,75372530,f27bf950-4d66-11f1-b1bb-f3574cce671d,60,Failed Cal,17060,368,55,13,17,9.4,true,X ¾
Virginia Beach HOA - Cust,72391004,db204080-9976-11f0-b5af-5dfa9891b485,76,Failed Cal,17060,368,55,13,0,8.6,false,X ¾
Virginia Beach HOA - Cust,72382813,080af040-98e6-11f0-b5af-5dfa9891b485,8,Failed Cal,17037,344,55,,7,10.8,false,X ¾
Virginia Beach HOA - Cust,72389347,d81c8eb0-8383-11f0-8b4a-0d0197d44616,117,TI Silent,17060,0,0,0,418,-0.0,true,X ¾
Virginia Beach HOA - Cust,72379827,682a1ea0-98ec-11f0-b5af-5dfa9891b485,166,TI Silent,17037,0,0,,13,226.6,false,X ¾
Virginia Beach HOA - Cust,72382805,e59043f0-98f2-11f0-b5af-5dfa9891b485,39,TI Silent,17060,0,0,0,3,11.6,false,X ¾
Westview Mobile Estates MHC,72381591,39f7fbc0-8379-11f0-8b4a-0d0197d44616,,Not Metering,16048,272,45,,0,2438.7,false, 
Westview Mobile Estates MHC,65827977,a14b2ad0-be4a-11ef-8f43-73c96c0de66f,234,Not Metering,16048,272,45,,0,2438.1,false,X ½
Westview Mobile Estates MHC,72392341,ee971130-8377-11f0-8b4a-0d0197d44616,238,Not Metering,16048,272,45,,0,2438.3,false,X ¾
Whispering Pines Mobile Estates,72381856,431246c0-9fdf-11f0-b5af-5dfa9891b485,105-OLD,Not Metering,16048,0,0,,2,2462.7,false,X ¾
Whispering Pines Mobile Estates,70272289,95c5aa80-9e7f-11f0-b5af-5dfa9891b485,107-OLD,Not Metering,16048,272,45,,0,2440.0,false,X ¾
Whispering Pines Mobile Estates,65824115,ca7ecb20-b989-11ef-8f43-73c96c0de66f,115,Not Metering,363,219,0,,0,4069.2,false,X ¾
Whispering Pines Mobile Estates,72379025,8bf12fc0-9e7f-11f0-b5af-5dfa9891b485,135,Not Metering,16048,272,45,,5,2440.0,false,X ¾
Whispering Pines Mobile Estates,72382524,945719a0-9e6f-11f0-b5af-5dfa9891b485,212,Not Metering,16048,272,45,,1,2437.1,false,C ¾
Whispering Pines Mobile Estates,72392812,c8f769e0-8f87-11f0-8b4a-0d0197d44616,232WHISPERINGPINES-OLD,Not Metering,16048,272,45,,0,2438.0,false,X ¾
Whispering Pines Mobile Estates,72382029,14033a80-9e7a-11f0-b5af-5dfa9891b485,235-OLD,Not Metering,16048,272,45,,1,2437.8,false,X ¾
Whispering Pines Mobile Estates,72391350,b04681c0-9e6d-11f0-b5af-5dfa9891b485,412-OLD,Not Metering,16048,272,45,,0,2439.1,false,X ¾
Whispering Pines Mobile Estates,72380650,e67410d0-9e6f-11f0-b5af-5dfa9891b485,516,Not Metering,16048,272,45,,0,2438.2,false,X ¾
Whispering Pines Mobile Estates,72391897,608f7c20-9e6f-11f0-b5af-5dfa9891b485,536-OLD,Not Metering,16048,272,45,,0,2439.4,false,X ¾
Whispering Pines Mobile Estates,70260516,503d7d00-9e73-11f0-b5af-5dfa9891b485,710-OLD,Not Metering,16048,272,45,,0,2437.7,false,P ¾
Whispering Pines Mobile Estates-CUST,70262447,308d7420-9e59-11f0-b5af-5dfa9891b485,317,Failed Cal,17060,368,55,13,1,10.6,false,X ¾
Whispering Pines Mobile Estates-CUST,70261639,68837010-6695-11f0-8658-7f4e94e41769,107,Not Metering,362,209,41,,0,13.8,false,X ¾
Whispering Pines Mobile Estates-CUST,70268956,58afcf60-9fd6-11f0-b5af-5dfa9891b485,217,Not Metering,16022,260,35,,0,14.7,false,X ¾
Whispering Pines Mobile Estates-CUST,72385766,69ee6270-9e53-11f0-b5af-5dfa9891b485,300,Not Metering,362,209,41,,0,14.5,false,X ¾
Whispering Pines Mobile Estates-CUST,70263502,c03bdc70-9fde-11f0-b5af-5dfa9891b485,306,Not Metering,362,209,41,,0,14.7,false,X ¾
Whispering Pines Mobile Estates-CUST,65823992,a404a580-be4a-11ef-8f43-73c96c0de66f,526,Not Metering,16022,260,35,,0,2895.1,false,C ¾
Whispering Pines Mobile Estates-CUST,72378928,6b2c0830-9e77-11f0-b5af-5dfa9891b485,703,Not Metering,362,209,41,,0,13.8,false,X ¾
Whispering Pines Mobile Estates-CUST,72378753,642c5850-9e77-11f0-b5af-5dfa9891b485,708,Not Metering,16131,0,0,,52,1542.9,false,X ¾
Whispering Pines Mobile Estates-CUST,72388588,74dc0e30-9e7b-11f0-b5af-5dfa9891b485,927,Not Metering,16131,0,0,,91,710.6,false,P ¾
Wildwood Estates MHC-CUST,75363497,e1a4bf70-06af-11f1-a3d9-c99c67c82bc1,29,Failed Cal,17060,368,55,13,0,9.7,false,P ¾
Wildwood Estates MHC-CUST,70262926,8b89c530-c4fc-11f0-9842-6d029661c338,20,Not Metering,16048,272,45,,9,2463.5,false,C ¾
Wildwood Village MHC-CUST,72721733,4fd51e50-c4bf-11f0-9842-6d029661c338,15,Not Metering,16048,272,45,,0,2462.9,false,P ¾
Wildwood Village MHC-CUST,72722483,3df88460-c4bf-11f0-9842-6d029661c338,16,Not Metering,16048,0,0,,0,2462.7,false,P ¾
Wyse Eval,72718549,5f18a040-dc4c-11f0-b691-d965a62fa4fa,Wyse1,Failed Cal,17066,375,55,9,0,5.4,false,P ¾
Wyse Eval,72714423,737b0320-db7a-11f0-b691-d965a62fa4fa,Wyse3,Failed Cal,17066,375,55,9,0,0.8,false,P ¾
Wyse Test,72722129,a4b62960-db7a-11f0-b691-d965a62fa4fa,246 advance,Failed Cal,17032,344,55,,0,64.3,false,X ¾
Wyse Test,70268147,ab7e7590-db7a-11f0-b691-d965a62fa4fa,Wyse1,Failed Cal,17032,344,55,,0,77.3,false, 
Wyse Test,75372175,8af430d0-fa42-11f0-b153-63024d3301e1,Wyse3,Failed Cal,17032,344,50,,0,66.1,, 
