group,device,fwVer,sessions,hung_est,days_with_records_of_7,rsrp_med,meterVal_first,meterVal_last,usage_7d_gal
Minot Gardens MHC-Cust,Device 70268220,16131,6,0,0,-121.0,68550.633,69074.617,523.9839999999967
Running Springs MHP,Device 75367399,17037,3,0,2,-114.0,42680.48,43197.563,517.0829999999987
Carolina Springs MHP-CUST,Device 70269657,362,7,0,3,-120.0,21530.326,22029.406,499.0799999999981
Shirlee's MHP,Device 79456016,17037,6,0,2,-110.0,1879.864,2367.036,487.172
Estancia MHP-CUST,Device 75374502,17037,10,0,3,-102.0,34794.355,35272.395,478.0399999999936
Rustic Acres MHC,Device 72382037,16185,8,1,0,-121.0,36663.09,37128.633,465.5430000000051
Ontario Place MHC,Device 70267925,16185,7,0,0,-122.0,17465.693,17930.078,464.38500000000204
South Breeze MHC,Device 2049783900,10706,7,0,0,-118.0,54180.0,54634.0,454.0
Shirlee's MHP,Device 79466676,17032,4,0,0,-123.0,3544.299,3987.025,442.7260000000001
Parker MHC-CUST,Device 72719224,16185,7,0,3,-94.0,11811.127,12245.149,434.021999999999
Rustic Acres MHC,Device 72384959,17037,5,0,3,-125.0,23982.262,24414.764,432.5020000000004
Maple Run MHC-CUST,Device 70264591,16022,6,0,0,-118.0,41306.73,41730.457,423.72699999999895
Rustic Acres MHC,Device 72391319,16131,8,0,0,-116.0,18474.5,18896.992,422.49199999999837
Ponderosa MHC,Device 72380767,17037,7,1,0,-128.0,14218.051,14636.581,418.53000000000065
Wheeler MHC,Device 2041738589,10706,7,0,0,-116.0,31300.0,31715.0,415.0
Wildwood Estates MHC-CUST,Device 72717467,16185,5,0,3,-105.0,15834.925,16235.894,400.96900000000096
Carolina Springs MHP-CUST,Device 65829478,16131,7,0,0,-122.0,10622.035,11022.634,400.59900000000016
Noble Estates MHC-Cust,Device 72720032,17032,6,0,1,-116.0,11059.295,11458.933,399.63800000000083
Oakwood MHP,Device 75367316,17037,9,0,3,-106.0,14102.729,14502.0,399.27100000000064
Kingsbrook MHC,Device 77057240,16131,4,0,2,-126.0,19494.834,19890.064,395.22999999999956
Noble Estates MHC-Cust,Device 72714498,17037,7,0,3,-118.0,12798.977,13176.388,377.41100000000006
Estancia MHP-CUST,Device 75370716,15147,2,0,0,-124.0,15615.199,15989.06,373.86099999999897
Rustic Acres MHC,Device 79454458,17037,7,0,3,-123.0,5593.938,5962.185,368.2470000000003
Lake Road Village RV Park-Cust,Device 72380221,16131,7,0,3,-109.0,5380.23,5743.035,362.8050000000003
Oakwood MHP,Device 2042741582,10671,5,0,3,-88.0,362639.0,362997.0,358.0
Woodland Heights MHC,Device 79459028,17037,7,0,2,-116.0,69.908,424.871,354.96299999999997
Kingsbrook MHC,Device 75368934,16131,3,0,0,-122.0,11889.901,12242.432,352.53100000000086
Country Squire MHC,Device 65828017,16185,7,0,2,-113.0,3935.429,4284.428,348.9989999999998
Running Springs MHP,Device 72390469,16185,5,0,2,-112.0,3019.058,3356.193,337.1350000000002
Noble Estates MHC-Cust,Device 72713763,16131,6,0,0,-117.0,9771.055,10102.154,331.09900000000016
Rustic Acres MHC,Device 70259880,16185,4,0,0,-122.0,132165.344,132494.563,329.21899999998277
Ontario Place MHC,Device 70267149,16185,6,0,0,-114.0,17129.605,17444.746,315.1409999999996
Broadway MHP DesMoines,Device 75362234,17037,6,0,3,-113.0,7626.924,7936.886,309.96200000000044
Holly Tree MHP,Device 77060228,16185,7,0,3,-114.0,2077.062,2383.946,306.884
Rustic Acres MHC,Device 79466296,17037,7,0,3,-119.0,4809.907,5114.944,305.03700000000026
Ontario Place MHC,Device 79458053,17037,11,0,3,-104.0,0.0,301.811,301.811
Roosevelt MHC,Device 75367506,17037,2,0,2,-106.0,19594.326,19895.328,301.0020000000004
Estancia MHP-CUST,Device 70267115,15147,7,0,3,-109.0,31050.834,31348.371,297.53700000000026
Ontario Place MHC,Device 79461024,17037,18,5,2,-113.0,0.0,295.941,295.941
Minot Gardens MHC-Cust,Device 65828033,17037,25,1,0,-115.0,19498.367,19791.422,293.0550000000003
Brighton Court MHP,Device 75372860,15090,5,0,0,-115.0,9181.56,9474.492,292.9320000000007
Ontario Place MHC,Device 72381419,17037,7,0,1,-120.0,202227.563,202517.125,289.56200000000536
Highlands MHC,Device 75362119,362,9,0,1,-106.0,9418.044,9707.395,289.35100000000057
Minot Gardens MHC-Cust,Device 72383803,17037,2,0,0,-111.0,75686.055,75969.883,283.8280000000086
Running Springs MHP,Device 72723580,16185,7,0,2,-110.0,1891.722,2171.906,280.18399999999997
Maple Run MHC-CUST,Device 70271984,362,10,0,3,-123.0,24323.213,24601.105,277.8919999999998
Broken Arrow MHP,Device 79466700,17032,5,0,0,-110.0,197522.469,197799.406,276.93699999997625
Oak Forest Estate MHC,Device 75373876,17037,6,0,2,-120.0,19967.773,20243.99,276.21700000000055
Ontario Place MHC,Device 70264237,16022,5,0,0,-116.0,26403.041,26670.734,267.6929999999993
Noble Estates MHC-Cust,Device 75360865,16185,5,1,1,-118.0,13700.756,13963.21,262.4539999999997
Ontario Place MHC,Device 79465793,17037,7,1,3,-111.0,0.0,261.331,261.331
Ontario Place MHC,Device 72392010,16185,7,0,0,-117.0,15469.118,15730.39,261.271999999999
Green Grove Trailer Court MHC,Device 70259146,16131,6,0,2,-115.0,7371.727,7631.064,259.33700000000044
Oakwood MHP,Device 79461826,17040,8,0,3,-112.0,165.416,422.0,256.584
Noble Estates MHC-Cust,Device 79462865,16185,5,0,2,-118.0,4242.09,4495.247,253.15700000000015
Roosevelt MHC,Device 75372233,16185,8,0,1,-102.0,7330.898,7582.533,251.63500000000022
Paola MHC,Device 79466478,17037,8,1,0,-119.0,6168.611,6417.254,248.64300000000003
Rustic Acres MHC,Device 79460257,17037,6,0,0,-125.0,25992.416,26238.373,245.95699999999852
Tuttle Estates MHC-Cust,Device 72723994,17037,7,0,3,-113.0,5565.595,5800.847,235.2519999999995
Carolina Springs MHP-CUST,Device 72383795,16131,4,0,0,-116.0,23677.0,23902.928,225.92799999999988
Bannock MHP,Device 75374254,17032,9,0,3,-92.0,452.654,675.014,222.36
Roosevelt MHC,Device 72714779,16022,7,0,3,-106.0,3290.132,3511.596,221.46399999999994
River Bend-Cust,Device 75374171,17037,3,0,3,-111.0,14992.399,15212.487,220.08799999999974
Roosevelt MHC,Device 75369163,16131,7,0,3,-106.0,1066.951,1285.68,218.72900000000004
Kay Bee Mobile Villa MHP,Device 72719802,16131,2,0,3,-117.0,39347.348,39565.758,218.4100000000035
Country Squire MHC,Device 70264203,16185,31,1,0,-116.0,52461.871,52680.121,218.25
Shirlee's MHP,Device 79459473,17032,8,1,0,-113.0,1082.446,1298.807,216.3610000000001
Roosevelt MHC,Device 75374247,16185,7,0,2,-106.0,10675.395,10889.446,214.05099999999948
Green Grove Trailer Court MHC,Device 70259989,16131,3,0,0,-119.0,6401.966,6615.621,213.65499999999975
Roosevelt MHC,Device 75362127,16185,7,0,3,-97.0,5993.309,6200.326,207.01699999999983
La Comunidad MHC-CUST,Device 72378688,16185,4,0,3,-110.0,55522.164,55726.313,204.1490000000049
Stafford MHC-CUST,Device 75361194,17037,7,0,3,-107.0,6955.794,7158.816,203.02199999999993
Ontario Place MHC,Device 79464788,17037,8,1,2,-108.0,16.0,218.845,202.845
Roosevelt MHC,Device 72723085,17037,9,0,1,-108.0,6673.662,6873.699,200.03699999999935
Stafford MHC-CUST,Device 70271778,17040,9,0,3,-101.0,6145.0,6344.467,199.46699999999964
Maple Run MHC-CUST,Device 70258452,16022,6,0,0,-120.0,33797.086,33996.195,199.10899999999674
Dorr Drive MHP,Device 72379140,16185,3,0,2,-117.0,52183.535,52379.48,195.9449999999997
Ontario Place MHC,Device 70259195,16185,6,0,1,-122.0,6879.131,7071.533,192.40200000000004
Carolina Springs MHP-CUST,Device 72391228,362,8,0,3,-120.0,19685.102,19870.82,185.71800000000076
Parkway MHC-Cust,Device 72392820,16022,7,0,2,-98.0,4618.09,4802.905,184.8149999999996
Fair Meadows MHC,Device 2068588365,10671,2,0,1,-95.0,38013.0,38196.0,183.0
Ontario Place MHC,Device 75362663,17037,9,1,3,-113.0,0.0,182.378,182.378
Backwater MHC,Device 70269343,17032,7,0,2,-89.0,24872.057,25052.953,180.89600000000064
Holly Tree MHP,Device 70262199,16185,6,0,3,-120.0,9734.902,9913.469,178.5669999999991
Shady Lane MHP-Cust,Device 75362887,17037,8,0,3,-107.0,1399.659,1577.568,177.90899999999988
Rustic Acres MHC,Device 79462295,17037,13,0,2,-92.0,0.0,176.135,176.135
Parkway MHC-Cust,Device 70264351,16022,7,0,2,-107.0,3024.216,3197.719,173.50300000000016
Ontario Place MHC,Device 79463392,17037,6,0,2,-111.0,0.0,169.527,169.527
Holly Tree MHP,Device 77058727,16185,8,1,0,-121.0,15144.256,15313.354,169.09799999999996
Eastwood Hills MHC-CUST,Device 72713847,362,9,0,3,-103.0,33793.844,33959.707,165.86300000000483
South Breeze MHC,Device 2042775010,10693,2,0,3,-107.0,88920.0,89085.0,165.0
Roosevelt MHC,Device 70260276,16131,7,0,2,-102.0,4178.013,4338.459,160.4459999999999
Green Grove Trailer Court MHC,Device 70271182,17037,6,0,0,-121.0,2486238.75,2486396.5,157.75
Noble Estates MHC-Cust,Device 75369197,17032,6,0,2,-125.0,9742.616,9892.152,149.53600000000006
Estancia MHP-CUST,Device 75371581,15147,4,0,0,-112.0,15337.163,15482.97,145.80699999999888
Roosevelt MHC,Device 75372217,16185,7,0,1,-100.0,2466.775,2612.221,145.4459999999999
Holly Tree MHP,Device 75374759,16185,5,0,0,-122.0,1886.293,2027.742,141.44900000000007
Kingsbrook MHC,Device 65826425,16131,3,0,0,-123.0,6606.996,6739.383,132.38699999999972
La Comunidad MHC-CUST,Device 72387465,16185,7,0,3,-103.0,21936.105,22064.348,128.2430000000022
Roosevelt MHC,Device 72724018,17037,20,10,1,-107.0,5775.0,5902.784,127.78399999999965
Noble Estates MHC-Cust,Device 75361731,17037,2,0,0,-119.0,5474.768,5601.002,126.23400000000038
Ontario Place MHC,Device 70262538,16185,4,0,1,-113.0,7497.881,7623.333,125.45199999999932
Fair Meadows MHC,Device 75371854,16131,7,0,3,-105.0,10141.933,10263.041,121.10799999999836
Ontario Place MHC,Device 72381518,16185,6,0,3,-114.0,12864.32,12985.048,120.72800000000097
Backwater MHC,Device 72718044,17040,2,0,1,-90.0,202.609,322.719,120.10999999999999
Carolina Springs MHP-CUST,Device 70262314,362,8,0,3,-107.0,26144.713,26263.984,119.27100000000064
Southern Cross MHC,Device 72723531,362,8,0,3,-90.0,4926.774,5045.749,118.97499999999945
Ontario Place MHC,Device 75363133,17037,6,0,3,-113.0,0.0,118.292,118.292
Roosevelt MHC,Device 75362093,16185,7,0,2,-102.0,1653.39,1770.503,117.11299999999983
Kingsbrook MHC,Device 77059170,16131,5,0,0,-124.0,14130.344,14247.122,116.77800000000025
Crystal Acres MHC,Device 72379538,17037,3,0,0,-115.0,17125.854,17241.943,116.08899999999994
River Bend-Cust,Device 75373223,17037,2,0,0,-119.0,8833.542,8948.712,115.17000000000007
Roosevelt MHC,Device 70268535,16185,7,0,3,-100.0,10925.133,11039.681,114.54800000000068
Ontario Place MHC,Device 79461362,17037,7,1,3,-108.0,0.0,109.381,109.381
Ponderosa MHC,Device 72390238,17037,5,0,2,-124.0,4371.462,4479.057,107.59499999999935
Kingsbrook MHC,Device 77057950,16131,7,0,3,-117.0,11220.615,11327.78,107.16500000000087
Oakwood MHP,Device 2042742077,10706,10,0,1,-97.0,88252.0,88359.0,107.0
Ontario Place MHC,Device 75360030,17037,8,0,3,-110.0,0.0,104.889,104.889
Roosevelt MHC,Device 75370880,16185,7,0,2,-96.0,2564.845,2658.922,94.07700000000023
Country Squire MHC,Device 70269707,16185,6,0,0,-119.0,7303.568,7394.369,90.80099999999948
Lakeview MHC-CUST,Device 75367563,16185,7,0,2,-88.0,11976.984,12066.44,89.45600000000013
Shady Lane MHP-Cust,Device 75368777,17037,33,0,3,-118.0,262.843,351.349,88.50599999999997
Whispering Pines Mobile Estates-CUST,Device 72383068,362,9,0,3,-98.0,21230.471,21317.004,86.53299999999945
Maple Run MHC-CUST,Device 70267818,362,7,0,3,-112.0,28970.492,29055.631,85.13900000000285
Ontario Place MHC,Device 79462279,17037,6,0,3,-113.0,0.0,81.271,81.271
Wildwood Estates MHC-CUST,Device 72717947,17037,4,0,3,-105.0,19241.236,19322.125,80.88899999999921
South Breeze MHC,Device 2049961654,10706,3,0,1,-111.0,53478.0,53558.0,80.0
Parkview MHP-Cust,Device 72724182,16185,7,0,3,-94.0,624.015,701.075,77.06000000000006
Broadway MHP DesMoines,Device 72384900,17037,9,1,0,-121.0,152.185,229.069,76.88399999999999
Ontario Place MHC,Device 79454243,17037,10,0,3,-110.0,0.0,76.519,76.519
Paola MHC,Device 79464390,17037,7,0,0,-120.0,1541.945,1618.16,76.21500000000015
Ontario Place MHC,Device 79466155,17037,7,0,2,-109.0,0.0,76.165,76.165
Bannock MHP,Device 79454680,17032,7,0,2,-107.0,237.119,312.863,75.744
Carolina Springs MHP-CUST,Device 70272552,362,13,0,3,-120.0,2660.721,2734.036,73.31500000000005
Ponderosa MHC,Device 72389388,16185,3,1,0,-120.0,23693.287,23765.191,71.90399999999863
Kingsbrook MHC,Device 72720115,16131,7,0,0,-116.0,1836.736,1908.362,71.62599999999998
Ontario Place MHC,Device 75364826,17037,5,0,3,-105.0,0.0,70.024,70.024
La Comunidad MHC-CUST,Device 72390857,16185,7,0,3,-89.0,4164.758,4233.706,68.94800000000032
Roosevelt MHC,Device 72719356,17037,7,0,3,-104.0,4.329,68.067,63.73799999999999
Roosevelt MHC,Device 75364479,16131,7,0,3,-102.0,2264.559,2328.24,63.680999999999585
Roosevelt MHC,Device 75360196,16131,7,0,3,-104.0,1002.674,1066.251,63.577
Rustic Acres MHC,Device 79454631,17037,13,2,2,-89.0,0.0,62.071,62.071
Roosevelt MHC,Device 75373991,16131,7,0,2,-104.0,4166.896,4227.823,60.92700000000059
Noble Estates MHC-Cust,Device 75367746,17037,7,0,2,-121.0,4180.754,4241.63,60.876000000000204
Alta Vista MHC-CUST,Device 70270804,16185,7,0,3,-97.0,10122.718,10183.569,60.85099999999875
Highlands MHC,Device 75374833,362,7,0,3,-88.0,4243.542,4302.265,58.722999999999956
Estancia MHP-CUST,Device 75368330,17037,7,0,3,-94.0,310.499,368.923,58.42399999999998
Fair Meadows MHC,Device 70260839,16131,4,0,2,-101.0,28931.168,28985.564,54.395999999997
Fair Meadows MHC,Device 77062125,16022,7,0,3,-98.0,8270.542,8324.826,54.28399999999965
Minot Gardens MHC-Cust,Device 65828397,17037,5,1,0,-113.0,88427.359,88480.07,52.711000000010245
Holly Tree MHP,Device 79460901,16185,3,0,3,-117.0,493.497,543.299,49.801999999999964
Eastwood Hills MHC-CUST,Device 72714605,16185,2,0,1,-113.0,29481.76,29531.256,49.49600000000282
Kingsbrook MHC,Device 77041749,16131,3,0,0,-126.0,72952.805,73001.445,48.64000000001397
Wildwood Estates MHC-CUST,Device 72724489,16185,7,0,3,-112.0,8492.188,8539.195,47.00699999999961
Ontario Place MHC,Device 75364560,17037,7,0,2,-108.0,0.0,45.317,45.317
Broadway MHP DesMoines,Device 79455356,17037,7,0,2,-118.0,1139.395,1184.679,45.284000000000106
Ontario Place MHC,Device 79463301,17037,6,0,2,-107.0,0.0,43.341,43.341
Wildwood Estates MHC-CUST,Device 70272016,16185,2,0,1,-111.0,3898.313,3938.18,39.866999999999734
River Bend-Cust,Device 75361913,17037,2,0,1,-100.0,575.582,614.388,38.80600000000004
Estancia MHP-CUST,Device 72724166,15147,3,0,1,-104.0,1539.714,1577.192,37.478000000000065
Maple Run MHC-CUST,Device 72382052,362,11,0,1,-112.0,15606.829,15644.17,37.34100000000035
Minot Gardens MHC-Cust,Device 65827175,16131,7,0,2,-116.0,1787.523,1824.675,37.152000000000044
Oak Forest Estate MHC,Device 77058511,17037,8,0,2,-102.0,14573.0,14604.804,31.804000000000087
Minot Gardens MHC-Cust,Device 77057430,17037,2,0,3,-109.0,72611.688,72641.422,29.734000000011292
Roosevelt MHC,Device 72723952,16131,7,0,1,-98.0,1374.556,1404.185,29.628999999999905
Wildwood Village MHC-CUST,Device 75364149,17037,7,0,2,-85.0,3958.013,3986.726,28.713000000000193
Stafford MHC-CUST,Device 72388133,363,8,0,3,-107.0,15424.737,15451.939,27.202000000001135
Coleman Village MHC-CUST,Device 72382136,15154,7,0,2,-87.0,5809.171,5834.863,25.692000000000007
Eastwood Hills MHC-CUST,Device 70272438,362,7,0,3,-105.0,1049.986,1075.226,25.24000000000001
Flower Mound MHC-CUST,Device 72380635,16185,7,0,1,-75.0,11584.0,11608.271,24.27100000000064
Roosevelt MHC,Device 75373629,16131,7,0,1,-85.0,2617.819,2641.227,23.4079999999999
Eastwood Hills MHC-CUST,Device 72718440,16185,7,0,2,-79.0,351.368,374.658,23.29000000000002
Crystal Acres MHC,Device 72387333,17037,7,0,3,-108.0,44935.273,44958.109,22.835999999995693
Mena Estates MHC,Device 77057653,16185,7,0,3,-83.0,344.658,366.292,21.633999999999958
Forest at Sherman MHC-CUST,Device 65829205,16185,7,0,1,-97.0,10469.921,10490.658,20.73699999999917
Maple Run MHC-CUST,Device 70267081,362,7,0,1,-116.0,16454.182,16474.367,20.18499999999767
Maple Run MHC-CUST,Device 70265465,362,7,0,2,-119.0,297978.656,297998.156,19.5
Maple Run MHC-CUST,Device 70266901,17040,9,1,1,-119.0,142060.0,142077.75,17.75
Roosevelt MHC,Device 75374155,16185,7,0,2,-98.0,5663.338,5679.868,16.530000000000655
Oakwood MHP,Device 75364313,17037,9,0,2,-103.0,8412.373,8428.316,15.94300000000112
East Barre MHP,Device 70260490,362,9,0,2,-98.0,17071.766,17086.971,15.205000000001746
Minot Gardens MHC-Cust,Device 65827266,16131,7,0,0,-121.0,68.124,83.248,15.12400000000001
Kay Lou-Cust,Device 72390279,17040,7,0,3,-92.0,4688.0,4703.065,15.0649999999996
Alta Vista MHC-CUST,Device 65824628,363,7,0,1,-109.0,24108.465,24122.938,14.472999999998137
Holly Tree MHP,Device 77058271,16185,7,0,1,-109.0,183516.953,183531.031,14.077999999979511
Rustic Acres MHC,Device 70272313,17037,7,0,1,-113.0,15087.445,15101.332,13.887000000000626
Backwater MHC,Device 72379694,17032,7,0,3,-86.0,941.966,955.553,13.586999999999989
Roosevelt MHC,Device 75369528,16185,7,0,1,-108.0,2890.803,2903.785,12.981999999999971
Kingsbrook MHC,Device 65828496,16131,2,0,0,-122.0,4696.039,4708.664,12.625
Roosevelt MHC,Device 75366540,16131,7,0,3,-104.0,729.572,742.083,12.510999999999967
Shady Lane MHP-Cust,Device 75365302,17028,6,0,3,-107.0,1694.206,1705.921,11.715000000000146
Maple Creek Estates MHC,Device 75363976,16185,7,0,3,-111.0,7852.261,7863.668,11.406999999999243
Green Grove Trailer Court MHC,Device 70258619,16131,7,0,0,-120.0,9015.509,9026.419,10.909999999999854
Stafford MHC-CUST,Device 79467005,16185,7,0,2,-107.0,345.998,355.059,9.061000000000035
Bannock MHP,Device 79460364,17032,7,0,3,-86.0,57.633,66.503,8.869999999999997
Kay Lou-Cust,Device 75360188,16131,7,0,2,-89.0,1441.275,1449.711,8.435999999999922
Fair Meadows MHC,Device 75368942,16022,7,0,2,-108.0,247.902,256.308,8.406000000000006
Roosevelt MHC,Device 75371474,16131,7,0,3,-101.0,402.039,409.894,7.855000000000018
Roosevelt MHC,Device 75368579,16131,7,0,1,-99.0,6208.891,6216.267,7.376000000000204
Chickadee Lane MHC,Device 72388968,16185,7,0,2,-106.0,29518.578,29525.922,7.3439999999973224
Ontario Place MHC,Device 75364743,17037,7,0,3,-106.0,0.0,7.257,7.257
Eastwood Hills MHC-CUST,Device 72717004,16185,7,0,2,-98.0,392.199,399.337,7.137999999999977
Wildwood Estates MHC-CUST,Device 72718804,362,7,0,3,-98.0,30462.07,30468.631,6.561000000001513
Alta Vista MHC-CUST,Device 79460224,363,7,0,2,-100.0,206.331,212.86,6.529000000000025
Haven MHP,Device 75369221,16131,7,0,1,-90.0,1286.954,1293.213,6.2590000000000146
Aurora MHC-CUST,Device 65825849,16022,7,0,2,-87.0,6049.873,6055.727,5.854000000000269
Oakwood MHP,Device 79458129,17037,10,0,1,-100.0,0.0,5.771,5.771
Crystal Acres MHC,Device 70266141,17032,7,0,3,-107.0,795.092,800.759,5.66700000000003
Kay Lou-Cust,Device 79453450,16131,7,0,3,-91.0,58.293,63.89,5.597000000000001
Roosevelt MHC,Device 75371334,16185,7,0,2,-115.0,7016.948,7022.5,5.55199999999968
Kay Bee Mobile Villa MHP,Device 72385725,16131,7,0,2,-111.0,7499.391,7504.884,5.493000000000393
Estancia MHP-CUST,Device 75373165,16128,6,0,2,-104.0,578.652,583.702,5.0499999999999545
Crystal Acres MHC,Device 72391640,17032,6,0,2,-107.0,13.581,18.467,4.885999999999999
Roosevelt MHC,Device 72720842,16185,7,0,0,-100.0,1427775.125,1427780.0,4.875
Green Grove Trailer Court MHC,Device 65826102,16131,7,0,2,-112.0,5051.236,5056.056,4.819999999999709
Big Country Mobile Home & RV Park-Cust,Device 72715461,16130,7,0,1,-88.0,199.744,204.417,4.673000000000002
Parker MHC-CUST,Device 72719638,362,7,0,2,-91.0,5889.217,5893.678,4.46100000000024
Oak Forest Estate MHC,Device 65828918,17037,7,0,3,-106.0,14805.396,14809.579,4.182999999999083
