group,device,fwVer,sessions,completed,hung_est,days_with_records_of_7,rsrp_med
Sara Drive MHP,Device 65822457,362,9,13,0,7,-110.0
Sara Drive MHP,Device 65831987,16022,7,6,0,7,-106.0
Sara Drive MHP,Device 65827076,362,12,13,0,7,-115.0
Sara Drive MHP,Device 65823521,362,13,13,0,7,-108.0
Sara Drive MHP,Device 65825252,362,12,13,0,7,-111.0
Sara Drive MHP,Device 65827803,362,13,12,0,7,-119.0
Sara Drive MHP,Device 65822440,362,9,15,0,5,-111.0
Sara Drive MHP,Device 65826268,362,13,13,0,7,-118.0
Sara Drive MHP,Device 68584349,17037,8,7,0,7,-104.0
Sara Drive MHP,Device 65822200,362,12,12,0,6,-120.0
Sara Drive MHP,Device 65823430,362,10,13,0,6,-112.0
Sara Drive MHP,Device 65822283,362,12,13,0,7,-112.0
Sara Drive MHP,Device 65831417,362,12,13,0,7,-120.0
Cedarbrook Estates MHC,Device 75371045,16185,7,6,0,0,-101.0
Cedarbrook Estates MHC,Device 79461651,16185,7,6,0,7,-92.0
Cedarbrook Estates MHC,Device 79460570,16185,7,6,0,7,-98.0
Woodland Heights MHC,Device 79457899,17037,12,9,2,7,-79.0
Woodland Heights MHC,Device 79466833,17037,11,9,1,7,-80.0
Woodland Heights MHC,Device 79456693,17037,9,7,1,6,-78.0
Woodland Heights MHC,Device 79456321,17037,9,8,0,7,-108.0
Woodland Heights MHC,Device 79458665,17037,11,10,0,0,-105.0
Woodland Heights MHC,Device 79457600,17042,151,150,0,0,-79.0
Woodland Heights MHC,Device 79453542,17037,10,8,1,7,-88.0
Woodland Heights MHC,Device 79467872,17037,10,8,1,7,-79.0
Woodland Heights MHC,Device 79466726,17037,8,8,0,5,-79.0
Woodland Heights MHC,Device 79456248,17037,7,6,0,7,-75.0
Woodland Heights MHC,Device 79460273,17037,9,7,1,7,-110.0
Woodland Heights MHC,Device 79457154,17037,11,8,2,7,-91.0
Woodland Heights MHC,Device 79466882,17037,5,4,0,6,-106.0
Woodland Heights MHC,Device 79459614,17037,7,6,0,7,-76.0
Woodland Heights MHC,Device 79457352,17037,7,6,0,6,-79.0
Woodland Heights MHC,Device 79461263,17037,7,6,0,7,-91.0
Woodland Heights MHC,Device 79455455,17037,7,6,0,6,-76.0
Woodland Heights MHC,Device 79467864,17037,7,6,0,7,-107.0
Woodland Heights MHC,Device 79458475,17037,9,8,0,7,-121.0
Woodland Heights MHC,Device 79459960,17037,9,8,0,7,-106.0
Woodland Heights MHC,Device 79461842,17037,8,6,1,0,-122.0
Woodland Heights MHC,Device 79459028,17037,7,6,0,2,-116.0
